"provider_id","usdot","display_name","legal_name","dba_name","usdot_status","state","power_units","drivers","classification","reason_codes","conflicts","authority_rows","history_rows","insurance_rows","census_dockets","dba_display_pass","trace_pass"
"0159da2a-29bb-5831-8ff4-d7bdd593469a","555491","FLETES MANZANA SA DE CV","FLETES MANZANA SA DE CV","","A","CH","2","2","LOCAL_INTRASTATE_CARRIER_CANDIDATE","HHG_CARGO_REPORTED,ACTIVE_USDOT,NO_INTERSTATE_HHG_AUTHORITY,STATE_AUTHORITY_PENDING","","0","0","0","3","true","true"
"235dddda-6d76-54de-8fc5-97889b6df1b0","815942","TRANSPORTES HERMANOS BELTRAN SA DE CV","TRANSPORTES HERMANOS BELTRAN SA DE CV","","A","CI","18","18","LOCAL_INTRASTATE_CARRIER_CANDIDATE","HHG_CARGO_REPORTED,ACTIVE_USDOT,NO_INTERSTATE_HHG_AUTHORITY,STATE_AUTHORITY_PENDING","","0","0","0","2","true","true"
"002f7ee7-d294-57ca-8dab-9fb418243a76","4577181","PRO HAUL LLC","PRO HAUL LLC","","A","CO","1","1","LOCAL_INTRASTATE_CARRIER_CANDIDATE","HHG_CARGO_REPORTED,ACTIVE_USDOT,NO_INTERSTATE_HHG_AUTHORITY,STATE_AUTHORITY_PENDING","","0","0","0","1","true","true"
"002f06c1-461e-5253-9756-d4cf8f318a7b","2589238","CHRISTOPHER ROY","CHRISTOPHER ROY","","A","CT","1","1","LOCAL_INTRASTATE_CARRIER_CANDIDATE","HHG_CARGO_REPORTED,ACTIVE_USDOT,NO_INTERSTATE_HHG_AUTHORITY,STATE_AUTHORITY_PENDING","","0","0","0","0","true","true"
"0a64931c-cd86-5282-86e6-fd1141b57c09","4108880","CASEY & COMPANY LLC","CASEY & COMPANY LLC","","A","DC","2","2","LOCAL_INTRASTATE_CARRIER_CANDIDATE","HHG_CARGO_REPORTED,ACTIVE_USDOT,NO_INTERSTATE_HHG_AUTHORITY,STATE_AUTHORITY_PENDING","","0","0","0","1","true","true"
"006c7cd4-611f-5c2c-a78a-a8bab2a4de40","3341107","EASTERN SHORE LOGISTICS LLC","EASTERN SHORE LOGISTICS LLC","","A","DE","0","","LOCAL_INTRASTATE_CARRIER_CANDIDATE","HHG_CARGO_REPORTED,ACTIVE_USDOT,NO_INTERSTATE_HHG_AUTHORITY,STATE_AUTHORITY_PENDING","","0","0","0","1","true","true"
"000aaebd-fcfa-56e2-93c6-dfe512581f3a","1018429","SUDDATH MOVING AND LOGISTICS","WITHERS SUDDATH RELOCATION SYSTEMS INC","SUDDATH MOVING AND LOGISTICS","A","FL","1","1","LOCAL_INTRASTATE_CARRIER_CANDIDATE","HHG_CARGO_REPORTED,ACTIVE_USDOT,NO_INTERSTATE_HHG_AUTHORITY,STATE_AUTHORITY_PENDING","","0","0","0","2","true","true"
"a9aa36ad-5951-5e83-852a-51d8d25beb5c","2232221","ALFRED BALGUERIE SA - TRANSO","ALFRED BALGUERIE SA","ALFRED BALGUERIE SA - TRANSO","A","FR","0","","LOCAL_INTRASTATE_CARRIER_CANDIDATE","HHG_CARGO_REPORTED,ACTIVE_USDOT,NO_INTERSTATE_HHG_AUTHORITY,STATE_AUTHORITY_PENDING","","0","0","0","1","true","true"
"000dbd71-af2d-5140-80bd-b5d2390a3507","600967","A-1 HORTONS MOVING SERVICE INC","A-1 HORTONS MOVING SERVICE INC","","A","GA","3","2","LOCAL_INTRASTATE_CARRIER_CANDIDATE","HHG_CARGO_REPORTED,ACTIVE_USDOT,NO_INTERSTATE_HHG_AUTHORITY,STATE_AUTHORITY_PENDING","","0","0","0","1","true","true"
"00f51953-1707-5932-8e4e-99e44d11d85c","4569609","AVANTI FREIGHT SOLUTIONS S DE RL DE CV","AVANTI FREIGHT SOLUTIONS S DE RL DE CV","","A","GJ","1","1","LOCAL_INTRASTATE_CARRIER_CANDIDATE","HHG_CARGO_REPORTED,ACTIVE_USDOT,NO_INTERSTATE_HHG_AUTHORITY,STATE_AUTHORITY_PENDING","","0","0","0","1","true","true"
